Review_ID,Product_Name,Category,Rating,Review_Text
1001,Noise-Canceling Headphones,Electronics,5,"Excellent sound quality and amazing noise cancellation."
1002,Noise-Canceling Headphones,Electronics,2,"Battery drains fast and charging takes forever."
1003,Noise-Canceling Headphones,Electronics,1,"Very uncomfortable and sound leaks."
1004,Smart Watch,Electronics,4,"Accurate tracking and stylish design."
1005,Smart Watch,Electronics,2,"Screen freezes frequently."
1006,Running Shoes,Footwear,5,"Perfect fit and lightweight."
1007,Running Shoes,Footwear,1,"Sole came off after a week."
1008,Noise-Canceling Headphones,Electronics,3,"Sound is good but build quality feels cheap."
1009,Laptop Stand,Accessories,4,"Sturdy and easy to adjust."
1010,Noise-Canceling Headphones,Electronics,1,"Microphone quality is terrible and static noise appears."
2001,Noise-Canceling Headphones,Electronics,5,"Amazing sound clarity and outstanding noise cancellation."
2002,Noise-Canceling Headphones,Electronics,1,"Battery drains too quickly and charging is very slow."
2003,Noise-Canceling Headphones,Electronics,2,"Uncomfortable after long use and sound leakage is noticeable."
2004,Smart Watch,Electronics,4,"Accurate fitness tracking and sleek stylish design."
2005,Smart Watch,Electronics,2,"Screen freezes randomly and needs frequent restarting."
2006,Running Shoes,Footwear,5,"Perfect fit and extremely lightweight for daily runs."
2007,Running Shoes,Footwear,1,"Sole detached after a week of light usage."
2008,Laptop Stand,Accessories,4,"Very sturdy and easy to adjust for different heights."
2009,Noise-Canceling Headphones,Electronics,3,"Sound quality is decent but build feels a bit cheap."
2010,Smart Watch,Electronics,5,"Battery life lasts long and tracking is very accurate."
2011,Running Shoes,Footwear,4,"Comfortable and breathable material for workouts."
2012,Laptop Stand,Accessories,2,"Feels flimsy and wobbles while typing."
2013,Noise-Canceling Headphones,Electronics,1,"Microphone quality is terrible with constant static noise."
2014,Smart Watch,Electronics,3,"Good features but app connectivity is inconsistent."
2015,Running Shoes,Footwear,5,"Excellent grip and very comfortable for long runs."
2016,Laptop Stand,Accessories,5,"Solid aluminum build and highly adjustable."
2017,Noise-Canceling Headphones,Electronics,4,"Great bass response and comfortable ear cushions."
2018,Smart Watch,Electronics,1,"Battery drains within a few hours of use."
2019,Running Shoes,Footwear,2,"Not very durable and stitching came loose quickly."
2020,Laptop Stand,Accessories,4,"Compact design and supports my laptop perfectly."
2021,Noise-Canceling Headphones,Electronics,5,"Immersive audio experience and blocks outside noise effectively."
